method,dino_diversity,clip_image_diversity,clip_alignment_cosine,clipscore,hpsv2,prompt_run_seconds,rho_mean_active_window,rho_variance_active_window,rho_boundary_rate_active_window,unet_calls
A_star,0.21938801872719874,0.0815268774634744,0.30639011681079864,0.7659752929210663,0.2553216552734375,7.23550310254097,0.55,0.0,0.0,50.0
B_feedback,0.21971444051631267,0.08145443565696359,0.3062219762802124,0.7655549502372742,0.2549856567382813,7.2735545149445535,0.6407602819999059,0.005834970437600408,0.042666666666666665,50.0
