rho,dino_diversity,clip_image_diversity,lpips_diversity,clip_alignment_cosine,clipscore,hpsv2,prompt_run_seconds,rho_mean,rho_variance,rho_boundary_rate,hard_guard_trigger_rate,unet_calls
0.0,0.215868706373012,0.07991965060873457,0.6825842726230621,0.3071673357486725,0.7679183399677276,0.25630401611328124,7.220232879519463,0.0,0.0,1.0,0.0,50.0
0.2,0.21775456293379475,0.08179008289053093,0.6834771823883057,0.30688549280166627,0.7672137343883514,0.255782470703125,7.24009497076273,0.2,0.0,0.0,0.0,50.0
0.4,0.21904256790578228,0.08139060193017209,0.6840301132202149,0.3063957762718201,0.7659894526004791,0.2557891845703125,7.241846484541893,0.4,0.0,0.0,0.0,50.0
0.6,0.22024200373283068,0.08206318650615019,0.6843871903419495,0.3060342139005661,0.7650855302810669,0.255,7.239360242784024,0.6,0.0,0.0,0.0,50.0
0.8,0.22371622054652943,0.08408227022614673,0.6838914406299591,0.304604252576828,0.7615106320381164,0.2539923095703125,7.237762383818627,0.8,0.0,0.0,0.0,50.0
1.0,0.24052235149196005,0.09718860848022412,0.6896226346492768,0.30345834374427794,0.7586458659172058,0.2508810424804688,7.2434028938412665,1.0,0.0,1.0,0.0,50.0
