method,dino_diversity,clip_image_diversity,clipscore,hpsv2,prompt_run_seconds,unet_calls
Vanilla SD v1.5,0.20009954334187072,0.07690083917297225,0.7854455689191818,0.2604810791015625,7.191551079750061,50.0
Original CADS,0.23512036190547214,0.09620132851035972,0.7780021307468414,0.24698362731933593,7.224908583700657,50.0
A* (fixed CADS),0.20379400827954072,0.07846374152609016,0.782337622642517,0.258323974609375,7.230436767280102,50.0
Feedback-CADS (B*),0.20489493938186296,0.07867730794242715,0.7817296518087387,0.25768972778320315,7.268605071246624,50.0
