metric,method,comparator,method_mean,comparator_mean,mean_difference,ci95_lower,ci95_upper,noninferiority_margin,noninferior,strong_improvement
DINO diversity,b_feedback,a_star,0.20489493938186296,0.20379400827954072,0.0011009311023222623,0.0002894675778701227,0.0019257115144876381,0.002037940082795407,True,True
CLIPScore,b_feedback,a_star,0.7817296518087387,0.782337622642517,-0.0006079708337783814,-0.001271540254354477,-1.2106531858444277e-05,0.00782337622642517,True,False
HPSv2,b_feedback,a_star,0.25768972778320315,0.258323974609375,-0.000634246826171875,-0.0008562667846679688,-0.0004149467468261719,0.00258323974609375,True,False
