method,dino_diversity,clip_image_diversity,clip_alignment_cosine,clipscore,hpsv2,prompt_run_seconds,rho_mean_active_window,rho_variance_active_window,rho_boundary_rate_active_window,unet_calls
A_star,0.21938801872719874,0.0815268774634744,0.30639011681079864,0.7659752929210663,0.2553216552734375,7.23550310254097,0.55,0.0,0.0,50.0
B_feedback,0.2191434131288222,0.08091164463058594,0.3063205468654633,0.7658013570308685,0.2551702880859375,7.26295889377594,0.5899040211836497,0.004231919418623053,0.021333333333333333,50.0
