rho,dino_diversity,clip_image_diversity,lpips_diversity,clip_alignment_cosine,clipscore,hpsv2,prompt_run_seconds,rho_mean,rho_variance,rho_boundary_rate,hard_guard_trigger_rate,unet_calls
0.0,0.215868706373012,0.07991965060873457,0.6825842726230621,0.3071673357486725,0.7679183399677276,0.25630401611328124,7.220232879519463,0.0,0.0,1.0,0.0,50.0
0.25,0.21635835223024327,0.08189074401950142,0.6838839626312256,0.3072680389881134,0.7681700932979584,0.255789794921875,7.232367769777775,0.25,0.0,0.0,0.0,50.0
0.3,0.21759286238105477,0.08142756635786019,0.6839852702617645,0.3071469497680664,0.7678673815727234,0.25576690673828123,7.234144504964352,0.3,0.0,0.0,0.0,50.0
0.35,0.2185926557877624,0.08158938968065278,0.6839015698432922,0.30664958417415616,0.7666239762306213,0.25560455322265624,7.235054053366184,0.35,0.0,0.0,0.0,50.0
0.45,0.2189637260846698,0.08100401605990509,0.6836844110488891,0.30654206454753874,0.7663551509380341,0.2553240966796875,7.236985672414303,0.45,0.0,0.0,0.0,50.0
0.5,0.21887488208161124,0.08102227185131562,0.6846129560470581,0.30652892470359805,0.7663223123550416,0.25526397705078124,7.238503278791905,0.5,0.0,0.0,0.0,50.0
0.55,0.219388020445738,0.08152687719185886,0.6845200741291046,0.30639011681079864,0.7659752929210663,0.2553216552734375,7.23550310254097,0.55,0.0,0.0,0.0,50.0
